
 Daxpy product:
   Blaze [MFlop/s]:
     1           162.697
     2           325.395
     3           488.083
     4           650.773
     5           731.904
     6           878.263
     7           1024.8
     8           1171.13
     9           1197.51
     10          1330.54
     11          1464.09
     12          1597.29
     13          1586.23
     14          1708.24
     15          1830.25
     16          2267.16
     17          2408.87
     18          2550.46
     19          2692.18
     20          2833.98
     22          2453.46
     24          3012.04
     26          3022.76
     28          3253.4
     30          3124.95
     33          3300.71
     36          3564.88
     39          3058.58
     42          3626.73
     46          3685.75
     50          3864.07
     55          3652.75
     60          4118.86
     66          4122.96
     72          4279.08
     79          4232.29
     86          4370.07
     94          4097.51
     103         4548.14
     113         4654.03
     124         4778.17
     136         4703.38
     149         4670.27
     163         4950.42
     179         4998.69
     196         5045.04
     215         4876.46
     236         5109.99
     259         4968.79
     284         5032.68
     312         4910.61
     343         4931.36
     377         5111.93
     414         4972.45
     455         5002.12
     500         5227.95
     550         4736.91
     605         4870.72
     665         4850.61
     731         4933.48
     804         4967.33
     884         4989.72
     972         5021.25
     1069        5048.81
     1175        5075.46
     1292        5293.46
     1421        5299.03
     1563        5235.84
     1719        5249.73
     1890        5139.87
     2079        4410.15
     2286        3203.39
     2514        3026.98
     2765        3007.72
     3041        2971.25
     3345        3008.69
     3679        3018.36
     4046        3060.14
     4450        2998.33
     4895        3035.59
     5384        3051.84
     5922        3026.58
     6514        3030
     7165        2459.23
     7881        2997.95
     8669        2976.79
     9535        2968.48
     10488       2921.09
     11536       2879.21
     12689       2858.37
     13957       2825.1
     15352       2107.35
     16887       2443.26
     18575       2702.05
     20432       2629.87
     22475       2524.96
     24722       2429.35
     27194       2296.09
     29913       2185.6
     32904       2156.97
     36194       2152.09
     39813       5702.01
     43794       5963.72
     48173       6228.07
     52990       6414.75
     58289       6740.2
     64117       6932.92
     70528       7075.78
     77580       7361.63
     85338       7498.28
     93871       7769.23
     103258      7935.7
     113583      8228.01
     124941      8492.63
     137435      8582.85
     151178      8866.65
     166295      8951.72
     182924      9121.63
     201216      9205.61
     221337      9433.98
     243470      9510.2
     267817      9564.2
     294598      9861.83
     324057      9883.25
     356462      10129.8
     392108      9940.36
     431318      10128.8
     474449      10186
     521893      10337.9
     574082      10269.4
     631490      10248.7
     694639      10338.1
     764102      10369.1
     840512      10268.4
     924563      10345.9
     1017019     10296.2
     1118720     10182.6
     1230592     10305
     1353651     10179.4
     1489016     10121.8
     1637917     9755.96
     1801708     9763.03
     1981878     9229.67
     2180065     8281.38
     2398071     7707.38
     2637878     6523.61
     2901665     5778.98
     3191831     4936.09
     3511014     4290.07
     3862115     3952.93
     4248326     3659.84
     4673158     3465.59
     5140474     3207.69
     5654521     3178.91
     6219973     3166.42
     6841970     3153.66
